index,Age,RestingBP,Cholesterol,MaxHR,Oldpeak,HeartDisease
Age,1.0,0.2630844402270461,0.05875823535807384,-0.3820446750319701,0.25861153601875636,0.2820385058189964
RestingBP,0.2630844402270461,1.0,0.09593928890625075,-0.10969285221159138,0.1742516713724396,0.11799000562033152
Cholesterol,0.05875823535807384,0.09593928890625075,1.0,-0.019855786148213105,0.05848813210669951,0.10386559562465626
MaxHR,-0.3820446750319701,-0.10969285221159138,-0.019855786148213105,1.0,-0.1606905500499244,-0.4004207694631906
Oldpeak,0.25861153601875636,0.1742516713724396,0.05848813210669951,-0.1606905500499244,1.0,0.40395072206288607
HeartDisease,0.2820385058189964,0.11799000562033152,0.10386559562465626,-0.4004207694631906,0.40395072206288607,1.0
